,Unnamed: 0,CITYHCR,HCTMULT,NAMEHCR,RSSDHCR,STALPHCR
2922,69214,TULSA,ONE,"YORKTOWN FINANCIAL HOLDINGS, INC.",4419534,OK
2923,69217,MCALLEN,ONE,"LONE STAR NATIONAL BANCSHARES--TEXAS, INC.",2325350,TX
2924,69250,CORPUS CHRISTI,ONE,"COASTAL BEND BANCSHARES, INC.",2505929,TX
2925,69262,CORSICANA,ONE,"CITY BANCSHARES, INC.",3218543,TX
2926,69263,HONG KONG,ONE,"BANK OF EAST ASIA, LIMITED, THE",1244221,
2927,69282,ARDMORE,ONE,"AMCORP FINANCIAL, INC.",1131853,OK
2928,69291,GRAHAM,ONE,"WOODSON BANCSHARES, INC.",1133044,TX
2929,69307,OZONA,ONE,"CROCKETT COUNTY NATIONAL BANCSHARES, INC",1141861,TX
2930,69313,LAREDO,ONE,"VISION BANCSHARES, INC.",3211012,TX
2931,69322,SEGUIN,ONE,FIRST COMMERCIAL FINANCIAL CORP,2299992,TX
2932,69329,RANCHO CORDOVA,ONE,AMERICAN RIVER BANKSHARES,2312837,CA
2933,69340,TULSA,ONE,"TRIAD BANCSHARES, INC.",1129690,OK
2934,69342,SANTA CLARA,ONE,SVB FINANCIAL GROUP,1031449,CA
2935,69347,CARTHAGE,ONE,"PANOLA NATIONAL BANCSHARES, INC.",2860918,TX
2936,69349,BOSTON,ONE,"BOSTON PRIVATE FINANCIAL HOLDINGS, INC.",1248078,MA
2937,69376,CAMP HILL,ONE,ATLANTIC COMMUNITY BANCSHARES INC,4923497,PA
2938,69382,MIDLAND,ONE,"MIDLAND BANCSHARES, INC.",2868950,TX
2939,69392,SOUTH PADRE ISLAND,ONE,"LAGUNA MADRE BANCSHARES, INC.",2524210,TX
2940,69394,ALBEMARLE,ONE,UWHARRIE CAPITAL CORP,2082532,NC
2941,69404,SEOUL,ONE,WOORI FINANCIAL GROUP INC.,5309306,
2942,69423,GRAND JUNCTION,ONE,"SAGEBRUSH PARTNERS, LLLP",3701269,CO
2943,69442,RONAN,ONE,VALLEY HOLDING COMPANY,1141580,MT
2944,69448,KANSAS CITY,ONE,"COMMERCE BANCSHARES, INC.",1049341,MO
2945,69622,HULETT,ONE,HULETT BANCORP,3402511,WY
2946,69625,BENTON,ONE,NORTHWEST BANCSHARES CORPORATION,1982176,LA
2947,69626,ZURICH,ONE,MAHAM BETEILIGUNGSGESELLSCHAFT AG,2817930,
2948,69633,LUBBOCK,ONE,"SOUTH PLAINS FINANCIAL, INC. EMPLOYEE STOCK OWNERSHIP PLAN",3382332,TX
2949,69654,PANAMA CITY,ONE,FIRST NORTHWEST FLORIDA HOLDING COMPANY,1246784,FL
2950,69680,OKARCHE,ONE,"NORTHWEST SOONER BANCSHARES, INC.",2015857,OK
2952,69687,BATON ROUGE,ONE,"FIRST NATIONAL BANKERS BANKSHARES, INC.",1086131,LA
2953,69692,ENCINITAS,ONE,C3 BANCORP,4970268,CA
2954,69701,INDIANOLA,ONE,COMMUNITY BANCSHARES CORP.,2048789,IA
2955,69716,BELLWOOD,ONE,BELLWOOD COMMUNITY HOLDING COMPANY,1983070,NE
2956,69723,FORDYCE,ONE,"CEDAR FINANCIAL HOLDING, INC.",1398861,NE
2957,69727,GONZALES,ONE,"ANB BANCSHARES, INC.",2536642,TX
2958,69735,SAN FRANCISCO,ONE,TRANS PACIFIC BANCORP,1031515,CA
2959,69738,CARMEL,ONE,"PEDCOR CAPITAL, LLC",3444847,IN
2960,69740,SENECA,ONE,"COMMUNITY BANCSHARES, INC.",1067532,KS
