,Unnamed: 0,ADDRESS,ASSET,BKCLASS,CALL,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSBRDD,INSBRTS,INSURED,NAMEFULL,OCCDIST,OCCNAME,REGAGNT,RSSDID,SPECDESC,SPECGRP,STALP,STCNTY,STNAME,UNIT,USA,ZIP
4939,55885,336 Main Street,196890.0,SM,CALL,16414,STATE,State Agency,STATE,Danville,13,United States,0.0,169007.0,169007.0,0,,5,Atlanta,5,Richmond,DIF,,,CB,Virginia Bank and Trust Company,1,Northeast District,FED,723822,COMMERCIAL LENDING,4,VA,51590,Virginia,0.0,1,24541
4941,55898,1420 Southwest Lee Blvd,384571.0,N,CALL,16416,FED,Comptroller of the Currency,OCC,Lawton,3,United States,0.0,308623.0,308623.0,52377,,13,Dallas,10,Kansas City,DIF,,,CB,"FSNB, National Association",5,Southwest District,OCC,125154,OTHER < $1 BILLION,7,OK,40031,Oklahoma,0.0,1,73501
4943,55976,222 New Hampshire Street,122844.0,NM,CALL,16417,STATE,State Agency,STATE,Covington,21,,0.0,108540.0,108540.0,0,,13,Dallas,6,Atlanta,DIF,,,CB,Citizens Bank & Trust Company,5,Southwest District,FDIC,384830,COMMERCIAL LENDING,4,LA,22103,Louisiana,0.0,1,70433
4945,55984,6340 Lake Oconee Parkway,671801.0,SB,CALL,16418,FED,Comptroller of the Currency,OCC,Greensboro,33,United States,0.0,566578.0,566578.0,13480,,5,Atlanta,6,Atlanta,DIF,,,SA,BankSouth,5,Southwest District,OCC,88231,COMMERCIAL LENDING,4,GA,13133,Georgia,0.0,1,30642
4947,55988,710 South Park Drive,159300.0,SM,CALL,16419,STATE,State Agency,STATE,Broken Bow,13,United States,0.0,140876.0,140876.0,17301,,13,Dallas,10,Kansas City,DIF,,,CB,1st Bank & Trust,5,Southwest District,FED,419255,ALL OTHER < $1 BILLION,8,OK,40089,Oklahoma,0.0,1,74728
4948,55990,201 East Front Street,32979.0,NM,CALL,16423,STATE,State Agency,STATE,La Monte,21,United States,0.0,29534.0,29534.0,0,,11,Kansas City,10,Kansas City,DIF,,,CB,La Monte Community Bank,4,Midwest District,FDIC,26457,AGRICULTURAL,2,MO,29159,Missouri,1.0,1,65337
4949,55991,116 Greene Street,42803.0,NM,CALL,16432,STATE,State Agency,STATE,Walker,21,United States,0.0,36819.0,36819.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Walker State Bank,4,Midwest District,FDIC,617341,AGRICULTURAL,2,IA,19113,Iowa,1.0,1,52352
4951,55994,119 South Inman Street,270009.0,NM,CALL,16436,STATE,State Agency,STATE,Sublette,21,United States,0.0,236793.0,236793.0,15669,,11,Kansas City,10,Kansas City,DIF,,,CB,Centera Bank,4,Midwest District,FDIC,51459,AGRICULTURAL,2,KS,20081,Kansas,0.0,1,67877
4953,56002,59 Fourth Street North,264551.0,NM,CALL,16438,STATE,State Agency,STATE,Central City,21,United States,0.0,191938.0,191938.0,12393,,11,Kansas City,7,Chicago,DIF,,,CB,NXT Bank,4,Midwest District,FDIC,893640,COMMERCIAL LENDING,4,IA,19113,Iowa,0.0,1,52214
4955,56004,104 North Main Street,118639.0,NM,CALL,16440,STATE,State Agency,STATE,Sylvania,21,United States,0.0,100328.0,100328.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Farmers and Merchants Bank,5,Southwest District,FDIC,4231,OTHER < $1 BILLION,7,GA,13251,Georgia,0.0,1,30467
4957,56007,156 Geneva Drive,338175.0,NM,CALL,16442,STATE,State Agency,STATE,Oviedo,21,United States,0.0,303469.0,303469.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Citizens Bank of Florida,5,Southwest District,FDIC,131034,COMMERCIAL LENDING,4,FL,12117,Florida,0.0,1,32765
4959,56014,450 Main St,78961.0,NM,CALL,16448,STATE,State Agency,STATE,Alexandria,21,,0.0,68793.0,68793.0,0,,11,Kansas City,9,Minneapolis,DIF,,,CB,Security State Bank,4,Midwest District,FDIC,270652,AGRICULTURAL,2,SD,46061,South Dakota,0.0,1,57311
4961,56016,100 West University Avenue,7659095.0,NM,CALL,16450,STATE,State Agency,STATE,Champaign,21,United States,0.0,6258573.0,6258573.0,10287,,9,Chicago,7,Chicago,DIF,,,CB,Busey Bank,3,Central District,FDIC,416245,COMMERCIAL LENDING,4,IL,17019,Illinois,0.0,1,61820
4963,56086,38609 Coal River Rd,105776.0,NM,CALL,16453,STATE,State Agency,STATE,Whitesville,21,United States,0.0,93889.0,93889.0,0,,5,Atlanta,5,Richmond,DIF,,,CB,Whitesville State Bank,1,Northeast District,FDIC,732637,ALL OTHER < $1 BILLION,8,WV,54005,West Virginia,0.0,1,25209
4965,56099,Second And Hazel Streets,269312.0,NM,CALL,16464,STATE,State Agency,STATE,Newport,21,United States,0.0,230010.0,230010.0,13826,,13,Dallas,8,St. Louis,DIF,,,CB,Merchants & Planters' Bank,5,Southwest District,FDIC,99143,AGRICULTURAL,2,AR,5067,Arkansas,0.0,1,72112
4967,56103,"1777 Ne Loop 410, Ste 100",1887670.0,NM,CALL,16470,STATE,State Agency,STATE,San Antonio,21,United States,0.0,1706420.0,1706420.0,0,,13,Dallas,11,Dallas,DIF,,,CB,Jefferson Bank,5,Southwest District,FDIC,45560,COMMERCIAL LENDING,4,TX,48029,Texas,0.0,1,78217
4969,56114,406 Broadway Street,36486.0,NM,CALL,16471,STATE,State Agency,STATE,Valley Falls,21,United States,0.0,32952.0,32952.0,13030,,11,Kansas City,10,Kansas City,DIF,,,CB,Kendall State Bank,4,Midwest District,FDIC,366854,COMMERCIAL LENDING,4,KS,20087,Kansas,0.0,1,66088
4970,56116,112 Main Ave,14733.0,NM,CALL,16472,STATE,State Agency,STATE,Gary,21,,0.0,10534.0,10534.0,0,,11,Kansas City,9,Minneapolis,DIF,,,CB,The Gary State Bank,3,Central District,FDIC,999355,AGRICULTURAL,2,MN,27107,Minnesota,1.0,1,56545
4971,56117,128 South Broadway Avenue,154117.0,NM,CALL,16473,STATE,State Agency,STATE,Sterling,21,United States,0.0,122797.0,122797.0,0,,11,Kansas City,10,Kansas City,DIF,,,CB,First Bank,4,Midwest District,FDIC,49652,AGRICULTURAL,2,KS,20159,Kansas,0.0,1,67579
4973,56120,125 Main Street,47187.0,NM,CALL,16477,STATE,State Agency,STATE,Lakota,21,United States,0.0,41795.0,41795.0,0,,11,Kansas City,9,Minneapolis,DIF,,,CB,State Bank of Lakota,3,Central District,FDIC,678258,AGRICULTURAL,2,ND,38063,North Dakota,1.0,1,58344
4975,56122,121 South Pennsylvania Street,180695.0,NM,CALL,16479,STATE,State Agency,STATE,Chrisman,21,United States,0.0,160645.0,160645.0,0,,9,Chicago,7,Chicago,DIF,,,CB,Longview Bank and Trust,3,Central District,FDIC,152431,AGRICULTURAL,2,IL,17045,Illinois,0.0,1,61924
4976,56124,109 North State Street,86089.0,NM,CALL,16483,STATE,State Agency,STATE,Poplar Grove,21,,0.0,61984.0,61984.0,12976,,9,Chicago,7,Chicago,DIF,,,CB,The Poplar Grove State Bank,3,Central District,FDIC,808448,OTHER < $1 BILLION,7,IL,17007,Illinois,0.0,1,61065
4978,56126,3 Main Avenue,72051.0,NM,CALL,16495,STATE,State Agency,STATE,Gruver,21,United States,0.0,54222.0,54222.0,12892,,13,Dallas,11,Dallas,DIF,,,CB,Gruver State Bank,5,Southwest District,FDIC,339054,AGRICULTURAL,2,TX,48195,Texas,1.0,1,79040
4980,56129,12th And Broadway,944806.0,N,CALL,16501,FED,Comptroller of the Currency,OCC,Quincy,3,United States,0.0,750508.0,750508.0,10232,,9,Chicago,8,St. Louis,DIF,,,CB,"First Bankers Trust Company, National Association",3,Central District,OCC,344647,COMMERCIAL LENDING,4,IL,17001,Illinois,0.0,1,62301
4981,56137,4606 Elvis Presley Boulevard,93283.0,NM,CALL,16511,STATE,State Agency,STATE,Memphis,21,,0.0,81902.0,81902.0,0,,13,Dallas,8,St. Louis,DIF,,,CB,Tri-State Bank of Memphis,5,Southwest District,FDIC,515054,COMMERCIAL LENDING,4,TN,47157,Tennessee,1.0,1,38116
4982,56138,202 N 4th St,15264.0,NM,CALL,16516,STATE,State Agency,STATE,Lynch,21,United States,0.0,12935.0,12935.0,0,,11,Kansas City,10,Kansas City,DIF,,,CB,Nebraska State Bank,4,Midwest District,FDIC,514057,AGRICULTURAL,2,NE,31015,Nebraska,1.0,1,68746
4983,56139,106 South Avenue West,61683.0,NM,CALL,16527,STATE,State Agency,STATE,Glen Ullin,21,United States,0.0,47440.0,47440.0,0,,11,Kansas City,9,Minneapolis,DIF,,,CB,Bank of Glen Ullin,3,Central District,FDIC,993353,AGRICULTURAL,2,ND,38059,North Dakota,1.0,1,58631
4985,56141,3344 Metairie Road,399686.0,NM,CALL,16539,STATE,State Agency,STATE,Metairie,21,United States,0.0,355547.0,355547.0,0,,13,Dallas,6,Atlanta,DIF,,,CB,Metairie Bank & Trust Company,5,Southwest District,FDIC,55336,COMMERCIAL LENDING,4,LA,22051,Louisiana,0.0,1,70004
4987,56168,507 Main Street,860550.0,NM,CALL,16546,STATE,State Agency,STATE,Jennings,21,United States,0.0,753468.0,753468.0,0,,13,Dallas,6,Atlanta,DIF,,,CB,JD Bank,5,Southwest District,FDIC,980531,COMMERCIAL LENDING,4,LA,22053,Louisiana,0.0,1,70546
4988,56172,1202 Central Avenue,129979.0,NM,CALL,16547,STATE,State Agency,STATE,Estherville,21,United States,0.0,100818.0,100818.0,13612,,11,Kansas City,7,Chicago,DIF,,,CB,Bank Plus,4,Midwest District,FDIC,329149,AGRICULTURAL,2,IA,19063,Iowa,0.0,1,51334
4991,56185,800 West Benjamin Avenue,779397.0,NM,CALL,16553,STATE,State Agency,STATE,Norfolk,21,United States,0.0,670566.0,670566.0,0,,11,Kansas City,10,Kansas City,DIF,,,CB,Elkhorn Valley Bank & Trust,4,Midwest District,FDIC,439356,AGRICULTURAL,2,NE,31119,Nebraska,0.0,1,68702
4992,56186,50 Main Street,20732.0,NM,CALL,16561,STATE,State Agency,STATE,Easton,21,United States,0.0,14984.0,14984.0,0,,11,Kansas City,9,Minneapolis,DIF,,,CB,State Bank of Easton,3,Central District,FDIC,379050,AGRICULTURAL,2,MN,27043,Minnesota,1.0,1,56025
4994,56243,111 West Monroe Street,129575217.0,N,CALL,16571,FED,Comptroller of the Currency,OCC,Chicago,3,Canada,0.0,101014596.0,101014596.0,0,,9,Chicago,7,Chicago,DIF,,,CB,BMO Harris Bank National Association,3,Central District,OCC,75633,COMMERCIAL LENDING,4,IL,17031,Illinois,0.0,1,60603
4995,56777,224 North Main Street,32065.0,NM,CALL,16581,STATE,State Agency,STATE,Anton,21,United States,0.0,28782.0,28782.0,0,,13,Dallas,11,Dallas,DIF,,,CB,Citizens State Bank,5,Southwest District,FDIC,489155,AGRICULTURAL,2,TX,48219,Texas,1.0,1,79313
4996,56778,200 North Burrton Avenue,10757.0,SM,CALL,16583,STATE,State Agency,STATE,Burrton,13,,0.0,9511.0,9511.0,52765,,11,Kansas City,10,Kansas City,DIF,,,CB,State Bank of Burrton,4,Midwest District,FED,21256,ALL OTHER < $1 BILLION,8,KS,20079,Kansas,1.0,1,67020
4997,56779,"701 Martin Luther King, Jr. Boulevard",41789.0,NM,CALL,16584,STATE,State Agency,STATE,Savannah,21,United States,0.0,33785.0,33785.0,10722,,5,Atlanta,6,Atlanta,DIF,,,CB,Carver State Bank,5,Southwest District,FDIC,370833,COMMERCIAL LENDING,4,GA,13051,Georgia,0.0,1,31401
